"","x"
"1","Subject"
"2","Activity"
"3","TimeBodyAccelerometer_mean_X"
"4","TimeBodyAccelerometer_mean_Y"
"5","TimeBodyAccelerometer_mean_Z"
"6","TimeBodyAccelerometer_standarddeviation_X"
"7","TimeBodyAccelerometer_standarddeviation_Y"
"8","TimeBodyAccelerometer_standarddeviation_Z"
"9","TimeGravityAccelerometer_mean_X"
"10","TimeGravityAccelerometer_mean_Y"
"11","TimeGravityAccelerometer_mean_Z"
"12","TimeGravityAccelerometer_standarddeviation_X"
"13","TimeGravityAccelerometer_standarddeviation_Y"
"14","TimeGravityAccelerometer_standarddeviation_Z"
"15","TimeBodyAccelerometerJerk_mean_X"
"16","TimeBodyAccelerometerJerk_mean_Y"
"17","TimeBodyAccelerometerJerk_mean_Z"
"18","TimeBodyAccelerometerJerk_standarddeviation_X"
"19","TimeBodyAccelerometerJerk_standarddeviation_Y"
"20","TimeBodyAccelerometerJerk_standarddeviation_Z"
"21","TimeBodyGyroscope_mean_X"
"22","TimeBodyGyroscope_mean_Y"
"23","TimeBodyGyroscope_mean_Z"
"24","TimeBodyGyroscope_standarddeviation_X"
"25","TimeBodyGyroscope_standarddeviation_Y"
"26","TimeBodyGyroscope_standarddeviation_Z"
"27","TimeBodyGyroscopeJerk_mean_X"
"28","TimeBodyGyroscopeJerk_mean_Y"
"29","TimeBodyGyroscopeJerk_mean_Z"
"30","TimeBodyGyroscopeJerk_standarddeviation_X"
"31","TimeBodyGyroscopeJerk_standarddeviation_Y"
"32","TimeBodyGyroscopeJerk_standarddeviation_Z"
"33","TimeBodyAccelerometerMagnitude_mean"
"34","TimeBodyAccelerometerMagnitude_standarddeviation"
"35","TimeGravityAccelerometerMagnitude_mean"
"36","TimeGravityAccelerometerMagnitude_standarddeviation"
"37","TimeBodyAccelerometerJerkMagnitude_mean"
"38","TimeBodyAccelerometerJerkMagnitude_standarddeviation"
"39","TimeBodyGyroscopeMagnitude_mean"
"40","TimeBodyGyroscopeMagnitude_standarddeviation"
"41","TimeBodyGyroscopeJerkMagnitude_mean"
"42","TimeBodyGyroscopeJerkMagnitude_standarddeviation"
"43","FastFourierTransformBodyAccelerometer_mean_X"
"44","FastFourierTransformBodyAccelerometer_mean_Y"
"45","FastFourierTransformBodyAccelerometer_mean_Z"
"46","FastFourierTransformBodyAccelerometer_standarddeviation_X"
"47","FastFourierTransformBodyAccelerometer_standarddeviation_Y"
"48","FastFourierTransformBodyAccelerometer_standarddeviation_Z"
"49","FastFourierTransformBodyAccelerometerJerk_mean_X"
"50","FastFourierTransformBodyAccelerometerJerk_mean_Y"
"51","FastFourierTransformBodyAccelerometerJerk_mean_Z"
"52","FastFourierTransformBodyAccelerometerJerk_standarddeviation_X"
"53","FastFourierTransformBodyAccelerometerJerk_standarddeviation_Y"
"54","FastFourierTransformBodyAccelerometerJerk_standarddeviation_Z"
"55","FastFourierTransformBodyGyroscope_mean_X"
"56","FastFourierTransformBodyGyroscope_mean_Y"
"57","FastFourierTransformBodyGyroscope_mean_Z"
"58","FastFourierTransformBodyGyroscope_standarddeviation_X"
"59","FastFourierTransformBodyGyroscope_standarddeviation_Y"
"60","FastFourierTransformBodyGyroscope_standarddeviation_Z"
"61","FastFourierTransformBodyAccelerometerMagnitude_mean"
"62","FastFourierTransformBodyAccelerometerMagnitude_standarddeviation"
"63","FastFourierTransformBodyBodyAccelerometerJerkMagnitude_mean"
"64","FastFourierTransformBodyBodyAccelerometerJerkMagnitude_standarddeviation"
"65","FastFourierTransformBodyBodyGyroscopeMagnitude_mean"
"66","FastFourierTransformBodyBodyGyroscopeMagnitude_standarddeviation"
"67","FastFourierTransformBodyBodyGyroscopeJerkMagnitude_mean"
"68","FastFourierTransformBodyBodyGyroscopeJerkMagnitude_standarddeviation"
