"","Subject","Activity","Measure","mean_or_standarddeviation","MeanValue"
"1",1,"LAYING","TimeBodyAccelerometer","mean",0.22159824394
"2",1,"SITTING","TimeBodyAccelerometer","mean",0.261237565425532
"3",1,"STANDING","TimeBodyAccelerometer","mean",0.278917629056604
"4",1,"WALKING","TimeBodyAccelerometer","mean",0.277330758736842
"5",1,"WALKING_DOWNSTAIRS","TimeBodyAccelerometer","mean",0.289188320408163
"6",1,"WALKING_UPSTAIRS","TimeBodyAccelerometer","mean",0.255461689622641
"7",2,"LAYING","TimeBodyAccelerometer","mean",0.281373403958333
"8",2,"SITTING","TimeBodyAccelerometer","mean",0.27708735173913
"9",2,"STANDING","TimeBodyAccelerometer","mean",0.277911472222222
"10",2,"WALKING","TimeBodyAccelerometer","mean",0.276426586440678
"11",2,"WALKING_DOWNSTAIRS","TimeBodyAccelerometer","mean",0.27761534806383
"12",2,"WALKING_UPSTAIRS","TimeBodyAccelerometer","mean",0.247164790395833
"13",3,"LAYING","TimeBodyAccelerometer","mean",0.275516852741935
"14",3,"SITTING","TimeBodyAccelerometer","mean",0.257197599134615
"15",3,"STANDING","TimeBodyAccelerometer","mean",0.280046513278689
"16",3,"WALKING","TimeBodyAccelerometer","mean",0.275567462068966
"17",3,"WALKING_DOWNSTAIRS","TimeBodyAccelerometer","mean",0.292423484693878
"18",3,"WALKING_UPSTAIRS","TimeBodyAccelerometer","mean",0.260819873067797
"19",4,"LAYING","TimeBodyAccelerometer","mean",0.263559214981481
"20",4,"SITTING","TimeBodyAccelerometer","mean",0.27153827992
"21",4,"STANDING","TimeBodyAccelerometer","mean",0.280499745892857
"22",4,"WALKING","TimeBodyAccelerometer","mean",0.278582015166667
"23",4,"WALKING_DOWNSTAIRS","TimeBodyAccelerometer","mean",0.279965329555556
"24",4,"WALKING_UPSTAIRS","TimeBodyAccelerometer","mean",0.270876696730769
"25",5,"LAYING","TimeBodyAccelerometer","mean",0.278334325576923
"26",5,"SITTING","TimeBodyAccelerometer","mean",0.273694139545455
"27",5,"STANDING","TimeBodyAccelerometer","mean",0.282544390892857
"28",5,"WALKING","TimeBodyAccelerometer","mean",0.27784234625
"29",5,"WALKING_DOWNSTAIRS","TimeBodyAccelerometer","mean",0.29354392712766
"30",5,"WALKING_UPSTAIRS","TimeBodyAccelerometer","mean",0.268459469914894
"31",6,"LAYING","TimeBodyAccelerometer","mean",0.248656520140351
"32",6,"SITTING","TimeBodyAccelerometer","mean",0.276778487454545
"33",6,"STANDING","TimeBodyAccelerometer","mean",0.280346248596491
"34",6,"WALKING","TimeBodyAccelerometer","mean",0.283658868070175
"35",6,"WALKING_DOWNSTAIRS","TimeBodyAccelerometer","mean",0.277045258145833
"36",6,"WALKING_UPSTAIRS","TimeBodyAccelerometer","mean",0.268229355098039
"37",7,"LAYING","TimeBodyAccelerometer","mean",0.250176694038462
"38",7,"SITTING","TimeBodyAccelerometer","mean",0.284674637291667
"39",7,"STANDING","TimeBodyAccelerometer","mean",0.282723539433962
"40",7,"WALKING","TimeBodyAccelerometer","mean",0.275592961754386
"41",7,"WALKING_DOWNSTAIRS","TimeBodyAccelerometer","mean",0.28030708
"42",7,"WALKING_UPSTAIRS","TimeBodyAccelerometer","mean",0.248706923078431
"43",8,"LAYING","TimeBodyAccelerometer","mean",0.261254282907407
"44",8,"SITTING","TimeBodyAccelerometer","mean",0.267491472934783
"45",8,"STANDING","TimeBodyAccelerometer","mean",0.279620986111111
"46",8,"WALKING","TimeBodyAccelerometer","mean",0.27468631
"47",8,"WALKING_DOWNSTAIRS","TimeBodyAccelerometer","mean",0.283484089210526
"48",8,"WALKING_UPSTAIRS","TimeBodyAccelerometer","mean",0.258880152048781
"49",9,"LAYING","TimeBodyAccelerometer","mean",0.2591955368
"50",9,"SITTING","TimeBodyAccelerometer","mean",0.24832674354
"51",9,"STANDING","TimeBodyAccelerometer","mean",0.282310057333333
"52",9,"WALKING","TimeBodyAccelerometer","mean",0.278502842115385
"53",9,"WALKING_DOWNSTAIRS","TimeBodyAccelerometer","mean",0.295923445
"54",9,"WALKING_UPSTAIRS","TimeBodyAccelerometer","mean",0.262436475714286
"55",10,"LAYING","TimeBodyAccelerometer","mean",0.280230574137931
"56",10,"SITTING","TimeBodyAccelerometer","mean",0.270612056481481
"57",10,"STANDING","TimeBodyAccelerometer","mean",0.276650300681818
"58",10,"WALKING","TimeBodyAccelerometer","mean",0.278574076603774
"59",10,"WALKING_DOWNSTAIRS","TimeBodyAccelerometer","mean",0.290401594315789
"60",10,"WALKING_UPSTAIRS","TimeBodyAccelerometer","mean",0.267121853404255
"61",11,"LAYING","TimeBodyAccelerometer","mean",0.280592970877193
"62",11,"SITTING","TimeBodyAccelerometer","mean",0.276590197358491
"63",11,"STANDING","TimeBodyAccelerometer","mean",0.277715562765957
"64",11,"WALKING","TimeBodyAccelerometer","mean",0.271821892881356
"65",11,"WALKING_DOWNSTAIRS","TimeBodyAccelerometer","mean",0.291605631956522
"66",11,"WALKING_UPSTAIRS","TimeBodyAccelerometer","mean",0.263775859277778
"67",12,"LAYING","TimeBodyAccelerometer","mean",0.260113433
"68",12,"SITTING","TimeBodyAccelerometer","mean",0.275007224901961
"69",12,"STANDING","TimeBodyAccelerometer","mean",0.277405834918033
"70",12,"WALKING","TimeBodyAccelerometer","mean",0.2771286656
"71",12,"WALKING_DOWNSTAIRS","TimeBodyAccelerometer","mean",0.281521097391304
"72",12,"WALKING_UPSTAIRS","TimeBodyAccelerometer","mean",0.272970338653846
"73",13,"LAYING","TimeBodyAccelerometer","mean",0.276716360483871
"74",13,"SITTING","TimeBodyAccelerometer","mean",0.274328499591837
"75",13,"STANDING","TimeBodyAccelerometer","mean",0.277758431052632
"76",13,"WALKING","TimeBodyAccelerometer","mean",0.275883130350877
"77",13,"WALKING_DOWNSTAIRS","TimeBodyAccelerometer","mean",0.294907553404255
"78",13,"WALKING_UPSTAIRS","TimeBodyAccelerometer","mean",0.258203939581818
"79",14,"LAYING","TimeBodyAccelerometer","mean",0.233275439803922
"80",14,"SITTING","TimeBodyAccelerometer","mean",0.279990577037037
"81",14,"STANDING","TimeBodyAccelerometer","mean",0.280545613833333
"82",14,"WALKING","TimeBodyAccelerometer","mean",0.271959598644068
"83",14,"WALKING_DOWNSTAIRS","TimeBodyAccelerometer","mean",0.293422115555556
"84",14,"WALKING_UPSTAIRS","TimeBodyAccelerometer","mean",0.26242106612963
"85",15,"LAYING","TimeBodyAccelerometer","mean",0.2894756525
"86",15,"SITTING","TimeBodyAccelerometer","mean",0.27290337979661
"87",15,"STANDING","TimeBodyAccelerometer","mean",0.278915803962264
"88",15,"WALKING","TimeBodyAccelerometer","mean",0.273899207962963
"89",15,"WALKING_DOWNSTAIRS","TimeBodyAccelerometer","mean",0.280198851190476
"90",15,"WALKING_UPSTAIRS","TimeBodyAccelerometer","mean",0.270187595833333
"91",16,"LAYING","TimeBodyAccelerometer","mean",0.274227162571429
"92",16,"SITTING","TimeBodyAccelerometer","mean",0.280768574492754
"93",16,"STANDING","TimeBodyAccelerometer","mean",0.283497402948718
"94",16,"WALKING","TimeBodyAccelerometer","mean",0.276023564509804
"95",16,"WALKING_DOWNSTAIRS","TimeBodyAccelerometer","mean",0.295586802191489
"96",16,"WALKING_UPSTAIRS","TimeBodyAccelerometer","mean",0.255986102627451
"97",17,"LAYING","TimeBodyAccelerometer","mean",0.269780085577465
"98",17,"SITTING","TimeBodyAccelerometer","mean",0.2773570196875
"99",17,"STANDING","TimeBodyAccelerometer","mean",0.277942503333333
"100",17,"WALKING","TimeBodyAccelerometer","mean",0.272341855245902
"101",17,"WALKING_DOWNSTAIRS","TimeBodyAccelerometer","mean",0.29391828326087
"102",17,"WALKING_UPSTAIRS","TimeBodyAccelerometer","mean",0.252604768583333
"103",18,"LAYING","TimeBodyAccelerometer","mean",0.274691576923077
"104",18,"SITTING","TimeBodyAccelerometer","mean",0.27727001877193
"105",18,"STANDING","TimeBodyAccelerometer","mean",0.278458805890411
"106",18,"WALKING","TimeBodyAccelerometer","mean",0.273887758571429
"107",18,"WALKING_DOWNSTAIRS","TimeBodyAccelerometer","mean",0.288439468909091
"108",18,"WALKING_UPSTAIRS","TimeBodyAccelerometer","mean",0.265401201896552
"109",19,"LAYING","TimeBodyAccelerometer","mean",0.272653733493976
"110",19,"SITTING","TimeBodyAccelerometer","mean",0.273830316164384
"111",19,"STANDING","TimeBodyAccelerometer","mean",0.27817226
"112",19,"WALKING","TimeBodyAccelerometer","mean",0.273931172307692
"113",19,"WALKING_DOWNSTAIRS","TimeBodyAccelerometer","mean",0.262688053871795
"114",19,"WALKING_UPSTAIRS","TimeBodyAccelerometer","mean",0.242118808925
"115",20,"LAYING","TimeBodyAccelerometer","mean",0.239507882205882
"116",20,"SITTING","TimeBodyAccelerometer","mean",0.278045439090909
"117",20,"STANDING","TimeBodyAccelerometer","mean",0.278076904657534
"118",20,"WALKING","TimeBodyAccelerometer","mean",0.272589336470588
"119",20,"WALKING_DOWNSTAIRS","TimeBodyAccelerometer","mean",0.296144421355556
"120",20,"WALKING_UPSTAIRS","TimeBodyAccelerometer","mean",0.252098317156863
"121",21,"LAYING","TimeBodyAccelerometer","mean",0.271325472455556
"122",21,"SITTING","TimeBodyAccelerometer","mean",0.277539616823529
"123",21,"STANDING","TimeBodyAccelerometer","mean",0.27695224258427
"124",21,"WALKING","TimeBodyAccelerometer","mean",0.279183526730769
"125",21,"WALKING_DOWNSTAIRS","TimeBodyAccelerometer","mean",0.3014610196
"126",21,"WALKING_UPSTAIRS","TimeBodyAccelerometer","mean",0.265194544680851
"127",22,"LAYING","TimeBodyAccelerometer","mean",0.279959721194444
"128",22,"SITTING","TimeBodyAccelerometer","mean",0.273583822709677
"129",22,"STANDING","TimeBodyAccelerometer","mean",0.279053861587302
"130",22,"WALKING","TimeBodyAccelerometer","mean",0.27886459
"131",22,"WALKING_DOWNSTAIRS","TimeBodyAccelerometer","mean",0.284458963861111
"132",22,"WALKING_UPSTAIRS","TimeBodyAccelerometer","mean",0.248391534566667
